source,n_claims,n_matched,match_rate,smoothed_rate,avg_match_score
wsnewspublishers.com,1,0,0.0,0.4167,0.0
bignewsnetwork.com,1,0,0.0,0.4167,0.0
hypebeast.com,1,0,0.0,0.4167,0.0
sportsmole.co.uk,1,0,0.0,0.4167,0.0
pressandjournal.co.uk,1,1,1.0,0.5833,0.88
kickoff.com,1,0,0.0,0.4167,0.0
caughtoffside.com,8,5,0.625,0.5769,0.56
thepeoplesperson.com,2,2,1.0,0.6429,0.9
teamtalk.com,4,1,0.25,0.3889,0.225
telecomasia.net,1,0,0.0,0.4167,0.0
punchng.com,1,0,0.0,0.4167,0.0
nigerianeye.com,1,0,0.0,0.4167,0.0
the42.ie,1,0,0.0,0.4167,0.0
dostor.org,1,0,0.0,0.4167,0.0
economictimes.indiatimes.com,1,0,0.0,0.4167,0.0
thehardtackle.com,3,1,0.3333,0.4375,0.2933
90min.com,3,3,1.0,0.6875,0.9133
pakobserver.net,1,0,0.0,0.4167,0.0
dailypost.ng,2,2,1.0,0.6429,0.89
tsn.ca,1,0,0.0,0.4167,0.0
arabnews.com,1,1,1.0,0.5833,0.78
weaintgotnohistory.sbnation.com,1,0,0.0,0.4167,0.0
joe.co.uk,1,0,0.0,0.4167,0.0
menafn.com,1,0,0.0,0.4167,0.0
daijiworld.com,1,1,1.0,0.5833,0.98
The Guardian / David Tindall,1,0,0.0,0.4167,0.0
The Guardian / Fabrizio Romano,11,8,0.7273,0.6562,0.6436
The Guardian / Sid Lowe in Madrid,2,0,0.0,0.3571,0.0
The Guardian / Daniel Gallan,1,0,0.0,0.4167,0.0
The Guardian / Jamie Jackson,19,11,0.5789,0.5625,0.5695
The Guardian / Gregg Bakowski,2,1,0.5,0.5,0.49
"The Guardian / Jamie Jackson, Fabrizio Romano and Jacob Steinberg",1,1,1.0,0.5833,0.96
The Guardian / PA Media and Guardian sport,1,1,1.0,0.5833,0.68
"The Guardian / Fabrizio Romano, Will Unwin, Jacob Steinberg and PA Media",1,1,1.0,0.5833,0.88
The Guardian / Andy Hunter and Fabrizio Romano,1,0,0.0,0.4167,0.0
The Guardian / Guardian sport,4,3,0.75,0.6111,0.75
The Guardian / Fabrizio Romano and Jamie Jackson,1,1,1.0,0.5833,0.96
The Guardian / Ed Aarons,9,5,0.5556,0.5357,0.5067
The Guardian / John Brewin and PA Media,1,1,1.0,0.5833,1.06
The Guardian / Jamie Jackson in Houston,1,1,1.0,0.5833,0.96
The Guardian / Jacob Steinberg,16,8,0.5,0.5,0.4113
The Guardian / Will Unwin,18,12,0.6667,0.6304,0.6456
The Guardian / Andy Martin,1,1,1.0,0.5833,1.06
The Guardian / Andy Brassell,1,0,0.0,0.4167,0.0
